oasgames.com.,A,66.55.147.148,64.237.62.3,
209.222.6.168.oasgames.com.,A,209.222.26.185,
2cqiielc2gqvkztu466fecjqu7glavzl._domainkey.oasgames.com.,CNAME,2cqiielc2gqvkztu466fecjqu7glavzl.dkim.amazonses.com,
444vlutdgi34hxldiy4dtljyettrrp7s._domainkey.oasgames.com.,CNAME,444vlutdgi34hxldiy4dtljyettrrp7s.dkim.amazonses.com,
zvzm47w2dytfqrpagzdfgboiwvxp7k4x._domainkey.oasgames.com.,CNAME,zvzm47w2dytfqrpagzdfgboiwvxp7k4x.dkim.amazonses.com,
a1kssa.oasgames.com.,A,108.61.90.182,
a1kstr.oasgames.com.,A,85.195.79.57,
a2kstr.oasgames.com.,A,85.195.79.69,
a3kstr.oasgames.com.,A,85.195.110.211,
a4kstr.oasgames.com.,A,85.195.78.92,
a5kstr.oasgames.com.,A,85.195.78.93,
a6kstr.oasgames.com.,A,85.195.79.47,
a7kstr.oasgames.com.,A,85.195.79.54,
across-kstr.oasgames.com.,A,85.195.76.36,
adjust.oasgames.com.,A,52.88.5.21,
adm.oasgames.com.,A,38.83.109.250,
adm2.oasgames.com.,A,38.83.109.250,
admgbox.oasgames.com.,A,209.222.19.132,
aipt.oasgames.com.,CNAME,OMDP-elb-1773868844.us-east-1.elb.amazonaws.com,
akar.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
a.akar.oasgames.com.,A,54.84.196.240,
akar999.oasgames.com.,A,85.195.109.11,
akes.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
a.akes.oasgames.com.,A,54.84.196.240,
nhcdn.akes.oasgames.com.,A,108.61.156.8,
akpl.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
a.akpl.oasgames.com.,A,54.84.196.240,
aktr.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
a.aktr.oasgames.com.,A,54.84.196.240,
aktr999.oasgames.com.,A,85.195.109.25,
alicdn-test.oasgames.com.,CNAME,alicdn-test.oasgames.com.w.kunlunca.com,
all.oasgames.com.,A,52.25.124.174,
api_mobile.oasgames.com.,CNAME,OMDP-elb-1773868844.us-east-1.elb.amazonaws.com,
ar.oasgames.com.,A,52.25.124.174,
ask.oasgames.com.,A,52.27.245.68,
asset2.oasgames.com.,A,38.123.100.187,
assetm.oasgames.com.,A,108.61.76.139,
assist0.oasgames.com.,A,124.205.35.143,
assist1.oasgames.com.,A,38.123.101.58,
assist10.oasgames.com.,A,66.55.150.3,
assist100loar.oasgames.com.,A,85.195.89.84,
assist100lode.oasgames.com.,A,85.195.110.238,
assist100lopl.oasgames.com.,A,85.195.120.220,
assist100sqeu.oasgames.com.,A,85.195.73.199,
assist101loar.oasgames.com.,A,85.195.76.158,
assist101lode.oasgames.com.,A,85.195.110.249,
assist101oastr.oasgames.com.,A,85.195.94.120,
assist102loar.oasgames.com.,A,139.159.46.77,
assist102lode.oasgames.com.,A,85.195.110.249,
assist102lopl.oasgames.com.,A,195.69.241.2,
assist102sqpt.oasgames.com.,A,216.155.155.150,
assist103loar.oasgames.com.,A,185.19.219.212,
assist103lode.oasgames.com.,A,85.195.110.234,
assist103sqsa.oasgames.com.,A,107.191.35.132,
assist104loar.oasgames.com.,A,185.19.217.218,
assist104lode.oasgames.com.,A,85.195.84.122,
assist104lopl.oasgames.com.,A,195.69.241.5,
assist105loar.oasgames.com.,A,173.199.112.68,
assist105lode.oasgames.com.,A,85.195.78.229,
assist105lotr.oasgames.com.,A,85.195.110.183,
assist105oas.oasgames.com.,A,64.237.44.220,
assist106loar.oasgames.com.,A,139.159.46.87,
assist106lode.oasgames.com.,A,85.195.78.229,
assist106lopl.oasgames.com.,A,195.69.241.25,
assist106sqna.oasgames.com.,A,216.155.155.152,
assist106sqpt.oasgames.com.,A,64.237.56.139,
assist107loar.oasgames.com.,A,85.195.87.154,
assist107lode.oasgames.com.,A,85.195.78.206,
assist107oastr.oasgames.com.,A,85.195.109.3,
assist107sqsa.oasgames.com.,A,216.155.153.243,
assist108loar.oasgames.com.,A,185.19.217.218,
