oasgames.com.,A,66.55.147.148,64.237.62.3,
aipt.oasgames.com.,CNAME,OMDP-elb-1773868844.us-east-1.elb.amazonaws.com,
akar.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
akes.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
akpl.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
aktr.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
api_mobile.oasgames.com.,CNAME,OMDP-elb-1773868844.us-east-1.elb.amazonaws.com,
botpt.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
c.oasgames.com.,A,64.237.62.3,
caes.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
catr.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
company.oasgames.com.,A,64.237.62.3,
test.company.oasgames.com.,A,64.237.62.3,
corporate.oasgames.com.,A,64.237.62.3,
ddtes.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
ap.dmp.oasgames.com.,CNAME,elb-oas-dmp-singapore-1273079339.ap-southeast-1.elb.amazonaws.com,
eu.dmp.oasgames.com.,CNAME,elb-oas-dmp-frankfurt-1347735380.eu-central-1.elb.amazonaws.com,
us.dmp.oasgames.com.,CNAME,elb-oas-dmp-vg-2094243792.us-east-1.elb.amazonaws.com,
eoept.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
event.oasgames.com.,A,64.237.62.3,
goges.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
gogpl.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
gtest.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
irpt.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
istriketr.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
katr.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
ksde.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
kspt.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
lees.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
lept.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
leru.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
loar.oasgames.com.,CNAME,elb-oas-odp-tmp-8512455.us-east-1.elb.amazonaws.com,
loel.oasgames.com.,CNAME,ODP-ELB-687878703.us-east-1.elb.amazonaws.com,
